feature,verdict,auc_train,auc_holdout,delta,auc_train_lo,auc_train_hi,auc_holdout_lo,auc_holdout_hi,dxy_train,dxy_holdout,iv_train,iv_holdout,woe_rho,woe_flip_mass,p_delong,unstable,n_train,n_holdout,null_rate_train,null_rate_holdout,note,p_delong_bh
V7,pass,0.5608,0.6752,0.1144,0.5532,0.5685,0.6669,0.6835,0.085,0.0362,0.0989,0.5207,-0.1071,0.0545,7.30754835323589e-88,FALSE,100392,100393,0.7124,0.2839,"",1.25488244134878e-86
id_20,pass,0.6266,0.6387,0.0121,0.6159,0.6373,0.6287,0.6487,0.1296,0.1212,0.2542,0.6714,0.6182,0.0499,0.104507123698801,FALSE,100392,100393,0.6007,0.8033,"",0.110969184652458
V3,pass,0.5625,0.6618,0.0994,0.5548,0.5701,0.654,0.6697,0.0951,0.0644,0.1045,0.538,0,0.0496,2.05173033196837e-70,FALSE,100392,100393,0.7124,0.2839,"",1.08698053757473e-69
P_emaildomain,pass,0.6389,0.5902,-0.0486,0.6293,0.6484,0.5809,0.5996,,,0.3,0.1627,0.4241,0.0483,9.93431509283975e-13,TRUE,100392,100393,0.1538,0.179,"",1.60626263514097e-12
ProductCD_is_R,inverted,0.5409,0.489,-0.0519,0.5363,0.5456,0.4848,0.4933,-0.0819,0.0219,0.0813,0.01,,0.0468,8.68738056992663e-59,FALSE,100392,100393,0,0,"",3.04670107311511e-58
R_emaildomain_freq,pass,0.6598,0.6728,0.013,0.6497,0.6699,0.6632,0.6824,0.286,0.2536,0.4149,0.7443,0.3714,0.0442,0.0670728967615372,FALSE,100392,100393,0.6537,0.7947,"",0.0718329087897754
client_m7_mean_prior,pass,0.5125,0.5831,0.0706,0.5066,0.5184,0.5753,0.591,-0.0053,-0.0268,0.0294,0.1867,0.3,0.0425,7.52883317267775e-45,FALSE,100392,100393,0.8871,0.4692,"",1.83792103921251e-44
V296,pass,0.5391,0.5021,-0.037,0.532,0.5461,0.4966,0.5075,0.0778,0.006,0.1289,0.0756,0.0907,0.04,4.64018127844704e-16,TRUE,100392,100393,0,4e-04,"",7.91373382420077e-16
id_02,pass,0.596,0.6652,0.0692,0.5854,0.6066,0.6557,0.6747,0.1482,0.1076,0.1333,0.6593,0.7818,0.0356,1.65049778554463e-21,FALSE,100392,100393,0.5964,0.7982,"",3.07845654382481e-21
ProductCD_is_S,pass,0.5008,0.4906,-0.0102,0.4978,0.5038,0.4869,0.4942,-0.0016,0.0189,0.0015,0.0103,,0.0318,2.35929652465149e-05,FALSE,100392,100393,0,0,"",3.01264017763191e-05
R_emaildomain,pass,0.6705,0.6855,0.015,0.6606,0.6804,0.676,0.695,,,0.4767,0.8231,0.3688,0.0312,0.0321104046789959,FALSE,100392,100393,0.6537,0.7947,"",0.0348387397170805
V9,pass,0.5606,0.667,0.1063,0.553,0.5683,0.659,0.675,0.071,0.0399,0.0853,0.5271,0.4505,0.0312,9.03923043093357e-79,FALSE,100392,100393,0.7124,0.2839,"",8.6568014511633e-78
ProductCD_is_H,inverted,0.5182,0.4875,-0.0307,0.5119,0.5246,0.4838,0.4913,-0.0365,0.025,0.0126,0.0176,,0.0285,4.36789434339101e-16,FALSE,100392,100393,0,0,"",7.47495320621555e-16
D13,pass,0.6047,0.6442,0.0395,0.5958,0.6136,0.6358,0.6526,0.0791,-0.1214,0.3054,0.5439,1,0.0279,2.31380515184651e-10,FALSE,100392,100393,0.9044,0.8848,"",3.51303343176696e-10
V8,pass,0.5521,0.6653,0.1132,0.5444,0.5597,0.6572,0.6734,0.0099,0.0115,0.0626,0.5152,-0.0357,0.0242,2.86306568602159e-88,FALSE,100392,100393,0.7124,0.2839,"",5.28076559866204e-87
V311,pass,0.5054,0.4975,-0.0079,0.502,0.5088,0.4949,0.5,0.0022,-0.0039,0.0088,0.0075,-0.4871,0.0238,0.000283476000958841,FALSE,100392,100393,1e-04,0,"",0.000342648175916268
id_31_freq,pass,0.6186,0.5833,-0.0353,0.6085,0.6287,0.5749,0.5918,-0.0907,-0.1365,0.2186,0.2986,0.7167,0.0226,1.44153496469007e-07,TRUE,100392,100393,0.5969,0.8822,"",1.97764300940952e-07
id_18,pass,0.5343,0.5443,0.0101,0.5266,0.542,0.5376,0.551,0.194,0.1112,0.0499,0.154,0.6,0.0224,0.0533606918535656,FALSE,100392,100393,0.8701,0.9335,"",0.0573944374580468
V4,pass,0.5563,0.6642,0.108,0.5486,0.5639,0.6555,0.673,0.0648,-0.0059,0.0716,0.5262,-0.1429,0.0218,7.90932028470466e-74,FALSE,100392,100393,0.7124,0.2839,"",5.32275878619314e-73
card3,pass,0.6408,0.6428,0.002,0.6313,0.6503,0.6343,0.6513,0.2805,0.2924,0.4961,0.6049,-0.4,0.0218,0.755513491356549,FALSE,100392,100393,0,0.0074,"",0.764727070519434
D8,pass,0.6224,0.6418,0.0194,0.6127,0.6321,0.6328,0.6507,-0.409,-0.3665,0.3338,0.6817,0.8091,0.0199,0.00396717150313269,FALSE,100392,100393,0.7826,0.8839,"",0.00446979956687801
V104,pass,0.507,0.4996,-0.0074,0.5024,0.5115,0.4952,0.5041,0.0132,0.0101,0.0257,0.0618,0.022,0.0196,0.0230286149495618,FALSE,100392,100393,0,7e-04,"",0.0250946394855181
V299,pass,0.5222,0.5057,-0.0165,0.5164,0.528,0.5009,0.5104,0.0437,0.0112,0.0523,0.0758,0.5545,0.0166,1.53646962202025e-05,FALSE,100392,100393,1e-04,0,"",1.97716245934389e-05
V105,pass,0.5117,0.5063,-0.0054,0.5063,0.5172,0.501,0.5117,0.0228,0.0167,0.0264,0.0824,0.1944,0.0159,0.164890223574747,FALSE,100392,100393,0,7e-04,"",0.172511200294589
V298,pass,0.5371,0.5055,-0.0316,0.5303,0.544,0.5002,0.5108,0.0733,0.011,0.1072,0.0824,0.3571,0.0155,9.38081710671734e-13,TRUE,100392,100393,1e-04,0,"",1.52170909418412e-12
V309,pass,0.537,0.5112,-0.0258,0.5305,0.5435,0.5058,0.5165,0.0626,0.0312,0.0789,0.0245,-0.2921,0.0155,1.9207996816944e-09,TRUE,100392,100393,1e-04,0,"",2.85539773577258e-09
DeviceInfo,pass,0.5957,0.6398,0.044,0.586,0.6055,0.6308,0.6487,,,0.2391,0.4812,0.3517,0.0152,7.63696001787869e-11,FALSE,100392,100393,0.635,0.8332,"",1.18479940464286e-10
V185,pass,0.5754,0.6876,0.1123,0.5649,0.5859,0.6791,0.6962,0.1355,0.0674,0.1539,0.7494,0.5579,0.015,3.12266716080247e-59,FALSE,100392,100393,0.6035,0.7986,"",1.11077731862831e-58
V295,pass,0.608,0.583,-0.0249,0.599,0.6169,0.5755,0.5905,0.2152,0.1642,0.3366,0.2455,0.2612,0.015,2.86050376999128e-05,TRUE,100392,100393,1e-04,0,"",3.64330147686869e-05
V102,pass,0.6074,0.5811,-0.0263,0.5984,0.6164,0.5736,0.5886,0.2134,0.1548,0.3547,0.2289,0.0562,0.0148,1.08363075859488e-05,TRUE,100392,100393,0,7e-04,"",1.4090029184863e-05
DeviceInfo_freq,pass,0.5859,0.6292,0.0432,0.5762,0.5957,0.6204,0.6379,-0.092,-0.1138,0.1923,0.4119,0.8857,0.0147,1.09424193261632e-10,FALSE,100392,100393,0.636,0.8394,"",1.67671533059362e-10
V297,pass,0.508,0.4995,-0.0086,0.5034,0.5127,0.4954,0.5036,0.0154,-0.0011,0.0239,0.0661,0.0245,0.0147,0.00667051626751889,FALSE,100392,100393,1e-04,0,"",0.0074315818819338
V182,pass,0.5771,0.6868,0.1097,0.5666,0.5876,0.6781,0.6954,0.1299,0.0427,0.1444,0.7037,0.0377,0.0144,3.09804830855646e-56,FALSE,100392,100393,0.6035,0.7983,"",1.03545507225578e-55
id_31,pass,0.6383,0.6775,0.0392,0.628,0.6486,0.6685,0.6865,,,0.3049,0.6995,0.3462,0.0144,1.96787267110001e-08,FALSE,100392,100393,0.5969,0.8018,"",2.78409258581763e-08
V106,pass,0.5093,0.5096,3e-04,0.5044,0.5143,0.5048,0.5145,0.0186,0.0176,0.0273,0.0813,0.6326,0.0134,0.937453716702319,FALSE,100392,100393,0,7e-04,"",0.937453716702319
V183,pass,0.5746,0.6869,0.1123,0.5641,0.5851,0.6784,0.6954,0.1219,0.0324,0.1277,0.7148,0.234,0.013,1.55589789253528e-59,FALSE,100392,100393,0.6035,0.7983,"",5.57436798908323e-59
V293,pass,0.5724,0.5588,-0.0136,0.5644,0.5804,0.5521,0.5656,0.1429,0.1165,0.195,0.208,0.4527,0.0129,0.0110474309589251,FALSE,100392,100393,1e-04,0,"",0.0121987153382365
V101,pass,0.5791,0.5608,-0.0183,0.5711,0.5871,0.5542,0.5674,0.1578,0.1203,0.2424,0.2511,0.2306,0.0128,0.000541600437985032,FALSE,100392,100393,0,7e-04,"",0.00064580384752404
V180,pass,0.5777,0.6871,0.1095,0.5671,0.5882,0.6785,0.6957,0.1308,0.043,0.143,0.7007,-0.04,0.0124,4.76254218809115e-56,FALSE,100392,100393,0.6035,0.7986,"",1.58116400644626e-55
V124,pass,0.5405,0.5227,-0.0178,0.5338,0.5471,0.5167,0.5286,0.0809,0.0448,0.1471,0.049,0.8333,0.0122,9.44568789249729e-05,FALSE,100392,100393,0,7e-04,"",0.000117305550385627
V181,pass,0.5706,0.6873,0.1167,0.5602,0.5809,0.6788,0.6958,0.0868,0.0342,0.1,0.7357,0.155,0.0113,1.70265805867034e-65,FALSE,100392,100393,0.6035,0.7983,"",7.99928031337573e-65
V136,pass,0.5206,0.4954,-0.0253,0.5153,0.526,0.4899,0.5008,0.0223,0.016,0.038,0.0391,-0.4772,0.0106,9.61730659425924e-11,TRUE,100392,100393,0,7e-04,"",1.48279216221087e-10
V137,pass,0.5177,0.4971,-0.0206,0.5128,0.5226,0.4921,0.5021,0.0182,0.0169,0.0306,0.0291,-0.38,0.0102,6.72544093224883e-09,TRUE,100392,100393,0,7e-04,"",9.76463435644291e-09
V321,pass,0.5268,0.4966,-0.0303,0.5211,0.5326,0.4917,0.5015,0.0433,0.011,0.0499,0.0211,-0.3547,0.0102,3.28494672252355e-15,TRUE,100392,100393,1e-04,0,"",5.5454354841245e-15
client_m9_mean_prior,pass,0.5061,0.6026,0.0965,0.5002,0.512,0.5945,0.6107,0.0129,-0.0858,0.014,0.2064,0.3697,0.0096,3.41712850445852e-79,FALSE,100392,100393,0.8871,0.4692,"",3.86756817095533e-78
V10,pass,0.5599,0.7028,0.1429,0.5528,0.567,0.6954,0.7102,-0.2848,-0.2492,0.1679,0.6805,-0.3,0.0091,6.09622969712972e-164,FALSE,100392,100393,0.7124,0.2839,"",1.01197412972353e-161
V135,pass,0.5147,0.4968,-0.0179,0.5102,0.5192,0.4923,0.5013,0.0129,0.0094,0.0252,0.0229,-0.3379,0.0087,3.19707279219908e-08,FALSE,100392,100393,0,7e-04,"",4.51031799012788e-08
D9,pass,0.5895,0.6524,0.0628,0.5796,0.5994,0.6439,0.6608,-0.0188,-0.0176,0.1639,0.5616,0.7909,0.0079,3.17295222849564e-21,FALSE,100392,100393,0.7826,0.8839,"",5.89600824548817e-21
card4_is_american_express,pass,0.5099,0.4987,-0.0111,0.5074,0.5123,0.4968,0.5007,-0.019,-7e-04,0.0187,0.0022,-0.5,0.0074,3.48920645951678e-12,FALSE,100392,100393,1e-04,0.0074,"",5.58721806057671e-12
card4_is_discover,pass,0.5004,0.5061,0.0057,0.498,0.5029,0.5033,0.509,2e-04,0.0156,0.0027,0.017,-0.5,0.0074,0.00292934518656483,FALSE,100392,100393,1e-04,0.0074,"",0.00334450080413627
card4_is_visa,pass,0.5099,0.4916,-0.0183,0.5005,0.5193,0.4836,0.4997,-0.0191,0.0137,0.0043,0.003,-1,0.0074,0.00382949180049078,FALSE,100392,100393,1e-04,0.0074,"",0.00432446012844537
card6,pass,0.5736,0.5987,0.0251,0.5638,0.5833,0.5903,0.607,,,0.0927,0.1933,-0.5,0.0074,0.000129489515464538,FALSE,100392,100393,0,0.0074,"",0.000160412384829204
card6_is_charge_card,pass,0.5004,0.4984,-0.0019,0.4998,0.5009,0.4973,0.4996,0,,0.0037,0.0027,,0.0074,0.00249597840605317,FALSE,100392,100393,0,0.0074,"",0.00286404895441125
card6_is_credit,pass,0.5736,0.5987,0.025,0.5638,0.5834,0.5903,0.607,0.1466,0.2029,0.0924,0.1924,-0.5,0.0074,0.000135852832635627,FALSE,100392,100393,0,0.0074,"",0.00016746215508055
card6_is_debit,pass,0.5736,0.5987,0.0251,0.5638,0.5834,0.5903,0.607,-0.1465,-0.2029,0.0922,0.1924,-0.5,0.0074,0.000131636473020006,FALSE,100392,100393,0,0.0074,"",0.000162667403384524
card6_is_debit_or_credit,pass,0.5003,0.4984,-0.0019,0.4998,0.5009,0.4973,0.4996,-1e-04,,0.0036,0.0027,,0.0074,0.00277570528879767,FALSE,100392,100393,0,0.0074,"",0.00317770398579595
V304,pass,0.5814,0.6856,0.1043,0.5709,0.5919,0.6773,0.694,0.1622,0.3712,0.1958,0.6632,-0.0426,0.0071,1.77642205088633e-52,FALSE,100392,100393,1e-04,0,"",5.39425720330118e-52
seconds_since_prev_txn_card,pass,0.5764,0.561,-0.0155,0.5655,0.5874,0.5511,0.5708,-0.1094,-0.1208,0.0812,0.0618,0.4273,0.007,0.0398460799247419,FALSE,100392,100393,0.0766,0.007,"",0.0430441384002635
id_22,pass,0.505,0.4966,-0.0084,0.5022,0.5078,0.494,0.4991,0.3479,0.1524,0.0244,0.029,0.4928,0.0069,1.20099843779091e-05,FALSE,100392,100393,0.9837,0.9925,"",1.55754484901009e-05
id_36,pass,0.581,0.6791,0.0981,0.5712,0.5908,0.6705,0.6878,-0.039,-0.0131,0.1053,0.6309,0.5,0.0067,9.02407449844366e-49,FALSE,100392,100393,0.5953,0.7982,"",2.42918329741889e-48
V129,pass,0.5258,0.5057,-0.0201,0.5203,0.5313,0.5011,0.5103,0.0408,0.0165,0.0551,0.0172,-0.3498,0.0066,4.02424583411416e-08,TRUE,100392,100393,0,7e-04,"",5.66122719036399e-08
V269,pass,0.5528,0.6715,0.1187,0.543,0.5626,0.663,0.68,-0.0087,-0.0171,0.0457,0.6031,-0.062,0.0049,7.45230036358125e-72,FALSE,100392,100393,0.6154,0.8228,"",4.52590924519935e-71
V318,pass,0.6088,0.5806,-0.0282,0.5999,0.6178,0.573,0.5882,0.2136,0.1646,0.3481,0.2022,-0.0071,0.0045,2.56501646575791e-06,TRUE,100392,100393,1e-04,0,"",3.36152157880905e-06
V205,pass,0.5673,0.6792,0.112,0.5573,0.5772,0.6708,0.6877,0.0132,-0.0374,0.0774,0.6453,-0.1802,0.0041,3.88702022625806e-63,FALSE,100392,100393,0.6035,0.7983,"",1.61311339389709e-62
V175,pass,0.5678,0.6811,0.1134,0.5576,0.5779,0.6728,0.6895,0.0518,-0.0552,0.0819,0.7341,-0.4333,0.0039,4.49342957325656e-64,FALSE,100392,100393,0.6035,0.7986,"",2.01597110583943e-63
V208,pass,0.5711,0.6851,0.114,0.561,0.5812,0.6764,0.6937,0.04,-0.0598,0.1252,0.7471,-0.0298,0.0037,1.80187514870942e-63,FALSE,100392,100393,0.6035,0.7986,"",7.735636414287e-63
V215,pass,0.5775,0.6812,0.1037,0.567,0.5881,0.6725,0.6899,0.1296,0.0385,0.1538,0.6466,0.2331,0.0037,5.41191301245655e-50,FALSE,100392,100393,0.6035,0.7983,"",1.49729593344631e-49
V133,pass,0.608,0.577,-0.0309,0.599,0.6169,0.5695,0.5846,0.2113,0.1542,0.3548,0.1893,0.1857,0.0036,2.05407337637688e-07,TRUE,100392,100393,0,7e-04,"",2.77969712346653e-07
id_07,pass,0.508,0.504,-0.004,0.5053,0.5108,0.5015,0.5066,-0.2215,-0.2891,0.0209,0.0278,0.4636,0.0035,0.0371946673632504,FALSE,100392,100393,0.9837,0.9925,"",0.040267270319345
D7,pass,0.6023,0.6334,0.0311,0.5937,0.6109,0.6253,0.6415,-0.2706,-0.2044,0.4037,0.5393,0.9429,0.0032,2.34926673366347e-07,FALSE,100392,100393,0.939,0.92,"",3.16198603612002e-07
D5n,pass,0.6304,0.54,-0.0904,0.6203,0.6406,0.5317,0.5484,0.3836,0.3856,0.2943,0.0477,0.0727,0.0031,2.00253643787606e-41,TRUE,100392,100393,0.6532,0.472,"",4.63843323749896e-41
id_08,pass,0.5067,0.5038,-0.0029,0.504,0.5095,0.5012,0.5063,-0.3036,-0.2657,0.015,0.0279,0.2485,0.0031,0.127353940038504,FALSE,100392,100393,0.9837,0.9925,"",0.133520551871947
V270,pass,0.5635,0.6857,0.1223,0.5533,0.5737,0.6771,0.6944,0.0593,0.0558,0.1112,0.6613,0.0878,0.003,6.41215226256527e-72,FALSE,100392,100393,0.5947,0.7961,"",3.94228620587346e-71
V289,pass,0.5476,0.5047,-0.0429,0.5393,0.5559,0.4976,0.5118,0.0912,0.0213,0.0804,0.0344,0.1429,0.003,1.23098490081422e-14,TRUE,100392,100393,0,4e-04,"",2.05714926377678e-14
id_26,pass,0.5085,0.5027,-0.0058,0.5058,0.5113,0.5001,0.5052,0.1153,0.2997,0.0285,0.0263,0.0545,0.003,0.00227880850791815,FALSE,100392,100393,0.9837,0.9925,"",0.00262695980773898
V210,pass,0.5743,0.6738,0.0996,0.5641,0.5844,0.6652,0.6824,0.0523,-0.0542,0.1389,0.6409,-0.1633,0.0029,9.31197034737024e-49,FALSE,100392,100393,0.6035,0.7986,"",2.49320496397332e-48
V134,pass,0.5975,0.5722,-0.0253,0.5889,0.6061,0.565,0.5794,0.1904,0.146,0.3278,0.1905,0.1774,0.0028,1.00576422546505e-05,TRUE,100392,100393,0,7e-04,"",1.31117954000417e-05
V207,pass,0.5702,0.6751,0.1049,0.5602,0.5803,0.6666,0.6836,0.0308,-0.0849,0.0863,0.6545,-0.2138,0.0028,8.3724542000814e-55,FALSE,100392,100393,0.6035,0.7983,"",2.68998851073583e-54
V226,pass,0.5512,0.6754,0.1242,0.5413,0.5611,0.667,0.6839,0.0136,0.0263,0.0475,0.6061,0.0671,0.0027,1.50537923426764e-77,FALSE,100392,100393,0.6154,0.8228,"",1.20915944946014e-76
V268,pass,0.5607,0.6722,0.1115,0.5505,0.5708,0.6636,0.6808,0.0578,0.0122,0.0784,0.5971,0.1738,0.0025,1.54744154222093e-60,FALSE,100392,100393,0.6154,0.8228,"",5.66636682372077e-60
V209,pass,0.5741,0.6757,0.1016,0.5639,0.5842,0.6671,0.6842,0.0511,-0.0593,0.1337,0.641,-0.0431,0.0024,8.31165245598565e-51,FALSE,100392,100393,0.6035,0.7986,"",2.32539490060722e-50
V277,pass,0.5673,0.6746,0.1073,0.5567,0.5779,0.6658,0.6835,0.1638,0.1449,0.1696,0.6523,0.2987,0.0024,2.96665747183773e-52,FALSE,100392,100393,0.6154,0.8228,"",8.95391164227388e-52
V278,pass,0.5657,0.6756,0.1099,0.5551,0.5762,0.6668,0.6843,0.1454,0.1204,0.1498,0.6395,0.4767,0.0023,1.59167498867748e-55,FALSE,100392,100393,0.6154,0.8228,"",5.18074604157767e-55
V276,pass,0.5618,0.6753,0.1135,0.5514,0.5721,0.6665,0.684,0.1044,0.1141,0.1123,0.6368,0.3631,0.0021,2.43169967559636e-60,FALSE,100392,100393,0.6154,0.8228,"",8.77526404671731e-60
id_25,pass,0.5067,0.5021,-0.0046,0.504,0.5095,0.4996,0.5045,-0.1654,-0.1388,0.0136,0.0194,0.4048,0.0021,0.0138051047107276,FALSE,100392,100393,0.9838,0.9925,"",0.0151430443743223
V281,pass,0.5396,0.5249,-0.0146,0.5333,0.5458,0.5198,0.5301,0.0749,0.0575,0.1083,0.0862,0.2152,0.0019,0.000400128640219761,FALSE,100392,100393,0,4e-04,"",0.000481314161423771
V272,pass,0.5665,0.6874,0.1209,0.5562,0.5767,0.6788,0.696,0.0712,0.0567,0.1276,0.6576,0.3416,0.0018,1.93601412560396e-70,FALSE,100392,100393,0.5947,0.7961,"",1.03670433822664e-69
V120,pass,0.5071,0.5001,-0.007,0.5047,0.5094,0.4991,0.501,0.0141,4e-04,0.0437,0.0022,,0.0017,8.49132862436701e-08,FALSE,100392,100393,0,7e-04,"",1.17790575346372e-07
V49,pass,0.6504,0.6511,7e-04,0.6417,0.6591,0.6445,0.6577,-0.2946,-0.3265,0.411,0.548,0.6786,0.0017,0.89953366233303,FALSE,100392,100393,0.4617,0.2464,"",0.901343589219012
V286,weak,0.5017,0.4981,-0.0035,0.4982,0.5051,0.4956,0.5007,0.0022,-0.0039,0.0036,0.0038,-1,0.0016,0.105397221175125,FALSE,100392,100393,1e-04,0,"",0.111676204564281
V316,pass,0.5736,0.5577,-0.0159,0.5656,0.5816,0.5508,0.5645,0.1428,0.1168,0.202,0.1268,0.0221,0.0016,0.00312248845602084,FALSE,100392,100393,1e-04,0,"",0.00355022660068123
id_21,pass,0.5061,0.5042,-0.0019,0.5033,0.5088,0.5016,0.5067,0.1368,0.0785,0.0114,0.0334,0.1667,0.0016,0.319656083212993,FALSE,100392,100393,0.9838,0.9925,"",0.333030814728181
V216,pass,0.5766,0.6826,0.106,0.5661,0.5871,0.674,0.6912,0.1217,0.0285,0.1469,0.6411,0.1935,0.0015,1.02707291493277e-52,FALSE,100392,100393,0.6035,0.7983,"",3.15729821997852e-52
V214,pass,0.5726,0.6827,0.1101,0.5623,0.583,0.6741,0.6913,0.0871,0.0292,0.1194,0.6387,0.2121,0.0014,9.40681891302595e-58,FALSE,100392,100393,0.6035,0.7983,"",3.20862727307324e-57
V36,pass,0.5719,0.5809,0.009,0.561,0.5828,0.5705,0.5914,-0.1398,-0.2912,0.0888,0.2889,0.4857,0.0014,0.240474177367302,FALSE,100392,100393,0.4617,0.2464,"",0.251061090836303
V132,pass,0.5805,0.5602,-0.0203,0.5724,0.5885,0.5535,0.5669,0.1564,0.1196,0.2635,0.1529,0.1267,0.0013,0.000140941575134851,TRUE,100392,100393,0,7e-04,"",0.000173305936832483
id_10,pass,0.5856,0.6464,0.0607,0.5762,0.5951,0.6381,0.6547,0.0081,0.0044,0.1499,0.5261,0.5134,0.0013,3.77535763548154e-21,FALSE,100392,100393,0.7826,0.8839,"",6.98932380100299e-21
V271,pass,0.5661,0.6866,0.1206,0.5558,0.5763,0.678,0.6952,0.0705,0.0603,0.1281,0.655,0.3017,0.0012,7.93120250866668e-70,FALSE,100392,100393,0.5947,0.7961,"",3.9896352013293e-69
V6,pass,0.5516,0.6755,0.1239,0.544,0.5593,0.6671,0.6838,2e-04,0.0166,0.0609,0.5145,0.4286,0.001,1.28956740432449e-101,FALSE,100392,100393,0.7124,0.2839,"",5.83822333957813e-100
V206,pass,0.5659,0.6832,0.1174,0.556,0.5757,0.6747,0.6917,-0.0074,-0.013,0.0753,0.634,-0.0054,9e-04,4.64750039144409e-70,FALSE,100392,100393,0.6035,0.7983,"",2.41089082806162e-69
V2,pass,0.5538,0.6748,0.121,0.5461,0.5615,0.6665,0.6831,0.0222,0.0196,0.0679,0.5169,0.4286,8e-04,1.51653436010672e-97,FALSE,100392,100393,0.7124,0.2839,"",5.03489407555432e-96
V235,pass,0.5594,0.6799,0.1205,0.549,0.5697,0.6712,0.6885,0.1041,0.121,0.09,0.6424,0.3462,8e-04,1.00231980673389e-68,FALSE,100392,100393,0.6154,0.8228,"",4.89367905640666e-68
V300,pass,0.5104,0.5154,0.0049,0.5059,0.515,0.5111,0.5196,0.0204,0.0294,0.0163,0.0255,-0.0476,8e-04,0.119673205475566,FALSE,100392,100393,0,4e-04,"",0.125732608284455
id_11,pass,0.5775,0.6838,0.1063,0.5677,0.5874,0.6754,0.6922,0.0147,-0.002,0.103,0.6318,-0.1636,8e-04,3.50461393015336e-58,FALSE,100392,100393,0.5953,0.7983,"",1.21201231751137e-57
V266,pass,0.5556,0.6727,0.1171,0.5457,0.5656,0.6641,0.6812,0.0154,0.0026,0.0554,0.5944,0.0294,7e-04,1.24091489490006e-68,FALSE,100392,100393,0.6154,0.8228,"",5.99976327825464e-68
V301,pass,0.5158,0.5192,0.0033,0.5109,0.5208,0.5146,0.5237,0.0311,0.0368,0.0254,0.0323,0.2817,7e-04,0.332331551127224,FALSE,100392,100393,0,4e-04,"",0.344793984294495
V236,pass,0.5653,0.6818,0.1164,0.5547,0.576,0.6731,0.6905,0.1657,0.1542,0.157,0.6691,0.4664,6e-04,5.5734819766947e-62,FALSE,100392,100393,0.6154,0.8228,"",2.18550710582202e-61
V225,pass,0.5563,0.6778,0.1215,0.5461,0.5664,0.6692,0.6864,0.0572,0.011,0.0636,0.6234,0.6447,5e-04,8.93570025893346e-72,FALSE,100392,100393,0.6154,0.8228,"",5.36142015536007e-71
V42,pass,0.6009,0.6995,0.0986,0.5893,0.6124,0.6903,0.7087,0.2841,0.4227,0.2772,0.6841,0.9429,5e-04,3.44975324184622e-39,FALSE,100392,100393,0.4617,0.2464,"",7.73863565062802e-39
V44,pass,0.5489,0.4946,-0.0543,0.5394,0.5584,0.4872,0.5021,0.224,0.267,0.0463,0.001,-1,5e-04,1.29821163639481e-18,TRUE,100392,100393,0.4617,0.2464,"",2.31723797464021e-18
id_23,pass,0.5041,0.5078,0.0037,0.5014,0.5069,0.5053,0.5103,,,0.008,0.0261,0.8,5e-04,0.0567822367210713,FALSE,100392,100393,0.9837,0.9925,"",0.0609430040670119
C11,pass,0.6571,0.5939,-0.0632,0.6468,0.6674,0.5849,0.6029,0.3175,0.187,0.3939,0.1372,0.4,4e-04,1.25257110155066e-19,TRUE,100392,100393,0,0,"",2.26007394410227e-19
V45,pass,0.5482,0.4946,-0.0535,0.5387,0.5577,0.4872,0.5021,0.2812,0.3165,0.0402,9e-04,-1,4e-04,3.15688137522534e-18,TRUE,100392,100393,0.4617,0.2464,"",5.61473901736507e-18
id_24,pass,0.5039,0.5056,0.0017,0.5011,0.5067,0.5031,0.5081,-0.112,0.2172,0.0059,0.0315,-0.2571,3e-04,0.361881302689295,FALSE,100392,100393,0.985,0.993,"",0.374671286360226
V186,pass,0.5888,0.6932,0.1044,0.5778,0.5998,0.6842,0.7022,0.2529,0.2816,0.4365,1.0067,-0.4146,2e-04,5.8905343972627e-47,FALSE,100392,100393,0.6035,0.7983,"",1.51210625249321e-46
V191,pass,0.5745,0.6877,0.1132,0.5642,0.5849,0.679,0.6964,0.1062,0.1326,0.2352,0.815,-0.1229,2e-04,1.76835790834246e-60,FALSE,100392,100393,0.6035,0.7983,"",6.42804553543462e-60
V240,pass,0.5499,0.6741,0.1242,0.5401,0.5597,0.6656,0.6825,-7e-04,9e-04,0.0421,0.5884,-0.5,2e-04,4.92454512988648e-79,FALSE,100392,100393,0.6154,0.8228,"",5.00494586670096e-78
id_04,pass,0.5804,0.6364,0.056,0.5711,0.5897,0.6282,0.6446,-0.0189,-0.0137,0.1594,0.4874,0.429,2e-04,7.61032288162725e-19,FALSE,100392,100393,0.8141,0.8929,"",1.36328805577352e-18
C3,pass,0.5054,0.5017,-0.0037,0.5049,0.5059,0.5011,0.5023,-0.011,-0.0041,0.0378,0.0061,0.9243,1e-04,1.22547162306087e-19,FALSE,100392,100393,0,0,"",2.21921770285204e-19
V172,pass,0.5672,0.6871,0.12,0.5572,0.5771,0.6788,0.6955,0.0128,-0.0368,0.0767,0.6549,0.4762,1e-04,7.48182974121254e-73,FALSE,100392,100393,0.6035,0.7983,"",4.83889767678421e-72
V196,pass,0.5786,0.6864,0.1078,0.5681,0.5891,0.6778,0.695,0.1472,0.0777,0.2947,0.7129,-0.2028,1e-04,1.54806904658481e-54,FALSE,100392,100393,0.6035,0.7983,"",4.94191272563612e-54
V227,pass,0.5608,0.6885,0.1277,0.5506,0.5711,0.68,0.697,0.0709,0.057,0.0823,0.6682,0.6738,1e-04,1.20797633065066e-78,FALSE,100392,100393,0.5947,0.7961,"",1.13504191068685e-77
