feature,verdict,auc_train,auc_holdout,delta,auc_train_lo,auc_train_hi,auc_holdout_lo,auc_holdout_hi,dxy_train,dxy_holdout,iv_train,iv_holdout,woe_rho,woe_flip_mass,p_delong,unstable,n_train,n_holdout,null_rate_train,null_rate_holdout,note,p_delong_bh
V229,pass,0.6212,0.5798,-0.0414,0.6103,0.6322,0.569,0.5907,0.4274,0.4253,0.4239,0.8074,0.5,0.132,1.51344116843578e-07,TRUE,100392,100393,0.6154,0.8228,"",2.07058709307972e-07
D10n,pass,0.6121,0.5763,-0.0358,0.6016,0.6226,0.5699,0.5828,0.2176,0.3709,0.1928,0.3703,0.4273,0.1297,1.25246415411122e-08,TRUE,100392,100393,0.3094,0.0815,"",1.79748457852274e-08
V168,pass,0.6156,0.5848,-0.0307,0.6043,0.6268,0.5737,0.596,0.3833,0.2842,0.3542,0.7577,0.8,0.1287,0.000143139122688592,TRUE,100392,100393,0.6035,0.7983,"",0.000175143201717246
V264,pass,0.6277,0.5899,-0.0378,0.6168,0.6385,0.5791,0.6007,0.4642,0.4185,0.3832,0.7902,0.8,0.1247,1.31859881536102e-06,TRUE,100392,100393,0.6154,0.8228,"",1.74180957572888e-06
V265,pass,0.6291,0.5951,-0.034,0.6183,0.64,0.5844,0.6059,0.4512,0.4148,0.3854,0.8015,0.8,0.1244,1.2813685863229e-05,TRUE,100392,100393,0.6154,0.8228,"",1.65745858698391e-05
V217,pass,0.6247,0.5989,-0.0259,0.614,0.6355,0.5881,0.6096,0.4222,0.4191,0.3655,0.8048,0.5,0.1239,0.000857212033915673,TRUE,100392,100393,0.6154,0.8228,"",0.00100696828327582
V171,pass,0.6167,0.5914,-0.0253,0.6055,0.6279,0.5803,0.6025,0.3668,0.319,0.3511,0.7745,0.4,0.1198,0.00166680476127296,TRUE,100392,100393,0.6035,0.7986,"",0.00194851824205148
card5,pass,0.6016,0.5961,-0.0055,0.5909,0.6122,0.587,0.6052,-0.1125,-0.078,0.1694,0.169,0.75,0.118,0.444447951064953,FALSE,100392,100393,0.0053,0.0102,"",0.456360988928549
V219,pass,0.6409,0.6168,-0.024,0.6302,0.6516,0.6062,0.6274,0.4655,0.4392,0.4312,0.8386,0.8,0.1173,0.00175860845680627,TRUE,100392,100393,0.6154,0.8228,"",0.00204146156524364
D2,pass,0.6097,0.6348,0.0251,0.6005,0.6188,0.6273,0.6422,-0.3764,-0.3755,0.2374,0.4374,0.9364,0.1167,3.03845516672798e-05,FALSE,100392,100393,0.5765,0.4182,"",3.86007824752687e-05
null_count_V_block,pass,0.6245,0.6996,0.0752,0.6128,0.6361,0.69,0.7092,-0.1179,-0.3667,0.2835,0.7317,0.4286,0.1127,1.85178179706608e-22,FALSE,100392,100393,0,0,"",3.47995220731663e-22
V218,pass,0.6443,0.625,-0.0193,0.6336,0.6549,0.6145,0.6355,0.4775,0.4396,0.4327,0.8283,0.8,0.1112,0.0113837024220246,FALSE,100392,100393,0.6154,0.8228,"",0.0125422208101067
ProductCD,pass,0.6622,0.668,0.0057,0.6514,0.6731,0.6581,0.6779,,,0.5031,0.7359,0.8,0.1071,0.443867669218511,FALSE,100392,100393,0,0,"",0.456360988928549
V66,inverted,0.5405,0.4603,-0.0802,0.531,0.5501,0.4525,0.4682,0.0222,0.0517,0.0621,0.1791,0.6429,0.1044,8.47733515459723e-37,FALSE,100392,100393,0.3026,0.087,"",1.86801456061479e-36
id_17,pass,0.6424,0.6294,-0.0131,0.6313,0.6535,0.6189,0.6398,0.4234,0.2602,0.4639,0.7286,0.6,0.1039,0.0920248233392682,FALSE,100392,100393,0.6005,0.8029,"",0.0979238504764008
V67,inverted,0.5565,0.4742,-0.0823,0.5463,0.5667,0.4657,0.4827,0.0878,0.0827,0.1756,0.2229,0.8703,0.1016,7.32758144479813e-34,FALSE,100392,100393,0.3026,0.087,"",1.53971964536264e-33
id_35,pass,0.6383,0.6189,-0.0195,0.6272,0.6494,0.6082,0.6295,-0.4001,-0.2544,0.4182,0.7304,0.5,0.1015,0.013290716790485,FALSE,100392,100393,0.5953,0.7982,"",0.0146109866703345
card1,pass,0.5875,0.5436,-0.0439,0.5763,0.5986,0.5337,0.5535,-0.0853,-0.0369,0.0986,0.0707,0.6121,0.1007,7.89215982992304e-09,TRUE,100392,100393,0,0,"",1.14252778933188e-08
V221,pass,0.6369,0.6234,-0.0135,0.6261,0.6477,0.6125,0.6342,0.2471,0.2114,0.3612,0.7825,0.8,0.0999,0.0825850274172568,FALSE,100392,100393,0.5947,0.7961,"",0.0882561022613603
V91,pass,0.6585,0.637,-0.0215,0.6504,0.6666,0.6309,0.6432,-0.3105,-0.3073,0.4797,0.5689,0.3571,0.0977,3.49658713391743e-05,TRUE,100392,100393,0.3405,0.0951,"",4.43078980328468e-05
V25,inverted,0.5294,0.4609,-0.0685,0.5195,0.5393,0.4544,0.4674,0.0076,0.0057,0.0629,0.0657,-0.3714,0.0963,1.03755575139217e-29,FALSE,100392,100393,0.3095,0.0815,"",2.08347888787622e-29
V79,pass,0.6419,0.7023,0.0603,0.6306,0.6533,0.6934,0.7111,0.3405,0.3837,0.433,0.7773,0.5021,0.0962,1.77761143767149e-16,FALSE,100392,100393,0.3405,0.0951,"",3.06315050505329e-16
V92,pass,0.6232,0.7019,0.0787,0.6119,0.6345,0.6932,0.7107,0.2954,0.3867,0.3053,0.744,0.6905,0.0962,3.50393808046791e-27,FALSE,100392,100393,0.3405,0.0951,"",6.92444906378182e-27
V93,pass,0.6239,0.7032,0.0793,0.6126,0.6352,0.6944,0.712,0.2979,0.3877,0.3151,0.7539,0.5523,0.0962,1.95227528441423e-27,FALSE,100392,100393,0.3405,0.0951,"",3.87343861210473e-27
V222,pass,0.6455,0.6425,-0.0029,0.6349,0.6561,0.632,0.6531,0.2724,0.235,0.3881,0.8069,0.8,0.0957,0.701616004796858,FALSE,100392,100393,0.5947,0.7961,"",0.711618676963004
V84,pass,0.6034,0.6952,0.0919,0.592,0.6147,0.6864,0.7041,0.2555,0.3746,0.2452,0.7064,0.4,0.0956,5.54265553498062e-36,FALSE,100392,100393,0.3405,0.0951,"",1.20534605083858e-35
V75,pass,0.5719,0.6181,0.0462,0.561,0.5828,0.6098,0.6263,-0.0715,-0.2313,0.1205,0.254,0.6,0.0951,4.01227807364416e-11,FALSE,100392,100393,0.3405,0.0951,"",6.323147090743e-11
V76,pass,0.575,0.6242,0.0492,0.564,0.586,0.616,0.6325,-0.0695,-0.2365,0.1154,0.2849,0.7143,0.0951,2.16165484531891e-12,FALSE,100392,100393,0.3405,0.0951,"",3.47259391280263e-12
V80,pass,0.6083,0.7012,0.0929,0.5969,0.6196,0.6924,0.71,0.2682,0.3826,0.274,0.7461,0.2485,0.0951,9.07615923387882e-37,FALSE,100392,100393,0.3405,0.0951,"",1.99115740020778e-36
V81,pass,0.6105,0.7011,0.0906,0.5991,0.6219,0.6923,0.7099,0.2738,0.3824,0.2863,0.7334,0.4795,0.0951,6.46783414197526e-35,FALSE,100392,100393,0.3405,0.0951,"",1.38239545180415e-34
V85,pass,0.6057,0.6969,0.0912,0.5944,0.6171,0.6881,0.7057,0.2622,0.3735,0.2565,0.6967,0.5357,0.0951,1.34625003526102e-35,FALSE,100392,100393,0.3405,0.0951,"",2.90230527082246e-35
V90,pass,0.6578,0.6371,-0.0207,0.6497,0.6659,0.631,0.6432,-0.3093,-0.308,0.4785,0.5648,0.9429,0.0951,6.18100322421572e-05,TRUE,100392,100393,0.3405,0.0951,"",7.77307981227128e-05
V94,pass,0.6411,0.7067,0.0656,0.6298,0.6524,0.698,0.7154,0.3369,0.3946,0.4111,0.751,1,0.0951,1.83190863684262e-19,FALSE,100392,100393,0.3405,0.0951,"",3.29346751316832e-19
V26,inverted,0.5194,0.4591,-0.0603,0.51,0.5288,0.4528,0.4654,0.0283,0.0158,0.0093,0.0629,-1,0.0936,1.47733501453577e-25,FALSE,100392,100393,0.3095,0.0815,"",2.89650723322368e-25
V320,inverted,0.5432,0.4931,-0.0501,0.5365,0.5499,0.4877,0.4985,0.0717,0.0111,0.0918,0.0348,-0.2387,0.093,6.71065338233679e-30,FALSE,100392,100393,1e-04,0,"",1.35299813133754e-29
card_txn_count_1h,pass,0.5375,0.5362,-0.0013,0.5271,0.548,0.5274,0.545,0.0738,0.0591,0.0217,0.0392,0,0.0916,0.850775678663426,FALSE,100392,100393,0,0,"",0.857378527866593
