column,pooled_auc,dominant_segment,dominant_auc,measurable_in_dominant,segments_measurable,segments_total,min_segment_auc,max_segment_auc,gap_dominant,cmh_or,cmh_p,bd_p,strata_used,note,cmh_p_bh,bd_p_bh,segment_artefact,heterogeneous
V196,0.573612823001249,W,,FALSE,4,5,0.536853126949661,0.674301324774093,,,,,1,fewer than two usable strata,,,TRUE,FALSE
V197,0.581281465684459,W,,FALSE,4,5,0.508728307840044,0.666778938545202,,,,,0,fewer than two usable strata,,,TRUE,FALSE
V198,0.586934926874524,W,,FALSE,4,5,0.50499005418753,0.666301059001513,,,,,0,fewer than two usable strata,,,TRUE,FALSE
V199,0.672549974058765,W,,FALSE,4,5,0.575697921668153,0.684019317305378,,8.33109208059238,0,0.000783017959856469,4,"",0,0.00192929167428553,TRUE,TRUE
V200,0.677823905747995,W,,FALSE,4,5,0.51254201248371,0.690227606835298,,,,,0,fewer than two usable strata,,,TRUE,FALSE
V201,0.683293071842974,W,,FALSE,4,5,0.520992523492695,0.694857898860784,,,,,0,fewer than two usable strata,,,TRUE,FALSE
V202,0.665345302961373,W,,FALSE,4,5,0.64187385783623,0.704790760900487,,,,,0,fewer than two usable strata,,,TRUE,FALSE
V203,0.690644660426582,W,,FALSE,4,5,0.664038282750625,0.738288864535747,,4.28903730367552,2.45459106523608e-166,8.22019119439688e-11,4,"",1.31245481447317e-165,4.56889696618803e-10,TRUE,TRUE
V204,0.686023251768998,W,,FALSE,4,5,0.663485469343341,0.730292555728965,,4.27662295418232,1.67260159384457e-164,1.1564462909508e-07,4,"",8.76443235174553e-164,4.84895900942527e-07,TRUE,TRUE
V205,0.506595582412813,W,,FALSE,4,5,0.503086631456204,0.529952400631751,,Inf,0.00387452359114351,,3,"",0.00539960202595532,,FALSE,FALSE
V206,0.503707809877206,W,,FALSE,4,5,0.505219836751492,0.539328659468169,,4.12542821750786,0.0299668408196261,0.0211847749293096,3,"",0.0377466937247213,0.0380688812639473,FALSE,TRUE
V207,0.515420563070389,W,,FALSE,4,5,0.512065052950074,0.53613684287001,,Inf,0.00180826049535705,,3,"",0.00263202360990859,,FALSE,FALSE
V208,0.520019251621207,W,,FALSE,4,5,0.507064439628736,0.552727189572576,,2.11926972075792,0.0452182130582706,0.311726530898308,3,"",0.0558828859493722,0.420918875054777,FALSE,FALSE
V209,0.525541323666763,W,,FALSE,4,5,0.509985893609191,0.552563724945271,,4.91380870674718,0.00242641696657637,0.533509750936912,3,"",0.00345500676762504,0.664108492051677,FALSE,FALSE
