candidate,components,rows_covered,entities,median_size,singleton_share,gini,median_span_days,pure_share,null_mean,lift_over_null,p_value
card1,card1,1,7686,2,0.373796513140775,0.822506809784023,4.57232638888889,0.91356742156659,0.802070434240599,0.111496987325992,0.00497512437810945
card1 + addr1,card1 + addr1,0.90911,18457,1,0.502681909302704,0.679672848287534,0,0.943348948687221,0.876813378363656,0.0665355703235647,0.00497512437810945
card1 + addr1 + D1,card1 + addr1 + D1,0.90911,52691,1,0.686910478070259,0.345132995550359,0,0.985573134509305,0.93757107352852,0.0480020609807844,0.00497512437810945
card1 + card2 + addr1 + D1,card1 + card2 + addr1 + D1,0.89573,52020,1,0.688177623990773,0.344514058976371,0,0.985635904074965,0.937640404414031,0.0479954996609334,0.00497512437810945
